2011-05-01 21 0 0
2011-05-02 21 0 0
2011-05-03 21 0 0
2011-05-04 21 0 0
2011-05-05 21 0 0
2011-05-06 21 0 0
2011-05-07 21 0 0
2011-05-08 21 0 0
2011-05-09 21 0 0
2011-05-10 21 0 0
2011-05-11 21 0 0
2011-05-12 21 0 0
2011-05-13 21 0 0
2011-05-14 21 0 0
2011-05-15 21 0 0
2011-05-16 21 0 0
2011-05-17 21 0 0
2011-05-18 21 0 0
2011-05-19 21 0 0
2011-05-20 21 0 0
2011-05-21 21 0 0
2011-05-22 21 0 0
2011-05-23 21 0 0
2011-05-24 21 0 0
2011-05-25 21 0 0
2011-05-26 21 0 0
2011-05-27 21 0 0
2011-05-28 21 0 0
2011-05-29 21 0 0
2011-05-30 0 21 0
2011-05-31 0 21 0
2011-06-01 0 21 0
2011-06-02 0 21 0
